Year,Country name,Country iso,Occurrence,Total deaths,Affected,Injured,Homeless,Total affected,Total damage ('000 $)
1989,Taiwan (China),TWN,1,13,0,0,0,0,0
1989,Thailand,THA,1,458,154000,0,45000,199000,452000
1989,United States,USA,4,53,0,0,25000,25000,7500000
1989,Viet Nam,VNM,3,959,5635000,1359,781000,6417359,21000
1989,Virgin Is (US),VIR,1,0,2000,0,8000,10000,21800
1990,Antigua and Barbuda,ATG,1,0,0,0,0,0,0
1990,Australia,AUS,1,0,0,0,0,0,155600
1990,Bahamas,BHS,1,0,0,0,0,0,0
1990,Bangladesh,BGD,1,370,13870,0,0,13870,0
1990,China P Rep,CHN,7,533,5690800,436,210000,5901236,1869000
1990,Cook Is,COK,1,1,0,0,0,0,0
1990,Fiji,FJI,1,0,3000,0,3000,6000,10000
1990,Grenada,GRD,1,0,1000,0,0,1000,0
1990,Guadeloupe,GLP,1,0,0,0,0,0,0
1990,Haiti,HTI,1,0,0,0,0,0,0
1990,India,IND,2,1207,4100000,0,0,4100000,692800
1990,Japan,JPN,1,40,60000,0,0,60000,4000000
1990,Martinique,MTQ,1,8,1500,0,0,1500,0
1990,Mexico,MEX,1,38,0,0,0,0,90700
1990,Montserrat,MSR,1,0,0,0,0,0,0
1990,Niue,NIU,1,0,200,0,0,200,0
1990,Philippines,PHL,5,737,5208275,1288,1110020,6319583,388500
1990,Samoa,WSM,1,8,170000,0,25000,195000,200000
1990,St Kitts and Nevis,KNA,1,0,0,0,0,0,0
1990,Taiwan (China),TWN,2,5,20000,0,0,20000,0
1990,Thailand,THA,1,36,0,0,0,0,50000
1990,Tokelau,TKL,1,0,0,0,102,102,2400
1990,Tonga,TON,1,1,2600,3,500,3103,2500
1990,Trinidad and Tobago,TTO,1,0,1000,0,0,1000,0
1990,Turks and Caicos Is,TCA,1,0,0,0,0,0,0
1990,Tuvalu,TUV,1,0,300,0,400,700,0
1990,Viet Nam,VNM,3,102,500000,108,2000,502108,0
1991,Bangladesh,BGD,1,138866,15000000,138849,300000,15438849,1780000
1991,China P Rep,CHN,3,147,1049130,5374,0,1054504,692890
1991,Hong Kong (China),HKG,1,22,0,182,0,182,10000
1991,India,IND,1,125,25000,0,0,25000,0
1991,Japan,JPN,5,101,90000,777,351,91128,10086500
1991,Korea Rep,KOR,1,72,20750,0,0,20750,310000
1991,Madagascar,MDG,1,36,125000,0,125000,250000,0
1991,Marshall Is,MHL,1,0,0,0,6000,6000,0
1991,Mauritius,MUS,1,0,6000,0,1500,7500,0
1991,Philippines,PHL,6,6083,1494506,3109,74250,1571865,275000
1991,Samoa,WSM,1,13,85000,0,3000,88000,278000
1991,Taiwan (China),TWN,1,33,0,4,0,4,0
1991,Thailand,THA,1,38,1858811,20,35407,1894238,8323
1991,United States,USA,2,20,1200,0,0,1200,1500000
1991,Viet Nam,VNM,2,38,770,22,455905,456697,9500
1992,Bahamas,BHS,1,4,0,0,1700,1700,250000
1992,China P Rep,CHN,2,221,5000000,0,0,5000000,837400
1992,Fiji,FJI,1,1,2000,0,0,2000,1600
1992,Guam,GUM,1,1,0,542,5000,5542,300000
1992,Hong Kong (China),HKG,1,0,0,18,43,61,219700
1992,India,IND,1,25,0,100,0,100,0
1992,Japan,JPN,1,11,0,86,0,86,0
1992,Korea Rep,KOR,1,0,375,0,58,433,0
1992,Lao P Dem Rep,LAO,1,22,268775,102,0,268877,3650
1992,Mexico,MEX,1,3,10000,0,0,10000,3000
1992,Philippines,PHL,3,75,311155,78,1965,313198,0
1992,Taiwan (China),TWN,1,8,0,0,0,0,35000
1992,Thailand,THA,2,3,253652,0,13007,266659,0
1992,Ukraine,UKR,1,0,1000,0,0,1000,1600
1992,United States,USA,3,48,45000,55,250000,295055,31500000
1992,Vanuatu,VUT,2,2,1150,10,0,1160,0
